"ΠΟΥΛΧΕΡΙΑ";5
"ΡΕΑ";5
"ΡΟΖΙΝΑ";5
"ΣΟΛΩΝ";5
"ΤΕΡΨΙΧΟΡΗ";5
"ΤΙΜΟΘΕΟΣ";5
"ΥΠΑΠΑΝΤΗ";5
"ΦΑΝΟΥΡΙΟΣ";5
"ΦΙΛΑΝΘΗ";5
"ΦΟΙΒΗ";5
"ΧΡΥΣΑΦΩ";5
"ΑΓΑΘΟΚΛΗΣ";4
"ΑΓΑΘΟΝΙΚΗ";4
"ΑΓΑΠΙΟΣ";4
"ΑΛΕΚΑ";4
"ΑΝΔΡΕΑΝΝΑ";4
"ΑΦΕΝΔΡΑ";4
"ΑΦΕΝΤΟΥΛΑ";4
"ΒΛΑΣΙΑ";4
"ΓΕΡΑΣΙΜΙΝΑ";4
"ΔΑΝΙΕΛΑ";4
"ΔΑΥΪΔ";4
"ΔΕΣΠΩ";4
"ΔΙΑΝΑ";4
"ΔΟΞΑ";4
"ΕΛΙΝΑ";4
"ΕΠΙΣΤΗΜΗ";4
"ΕΡΙΦΥΛΛΗ";4
"ΕΡΩΦΙΛΗ";4
"ΕΥΡΙΚΛΕΙΑ";4
"ΕΥΣΕΒΕΙΑ";4
"ΖΑΜΠΕΤΑ";4
"ΖΟΥΜΠΟΥΛΙΑ";4
"ΘΕΛΞΙΟΠΗ";4
"ΘΕΜΙΣ";4
"ΘΕΟΔΟΥΛΑ";4
"ΘΕΟΦΙΛΗ";4
"ΘΕΟΦΥΛΑΚΤΟΣ";4
"ΙΑΝΘΗ";4
"ΙΟΚΑΣΤΗ";4
"ΙΠΠΟΛΥΤΗ";4
"ΙΣΑΒΕΛΛΑ";4
"ΚΑΙΤΗ";4
"ΚΑΛΗ";4
"ΚΕΡΑΣΑ";4
"ΚΕΡΑΣΙΝΑ";4
"ΚΟΡΙΝΝΑ";4
"ΚΟΡΝΗΛΙΟΣ";4
"ΚΥΠΑΡΙΣΣΙΑ";4
"ΚΥΡΙΑΖΗΣ";4
"ΜΑΛΑΜΩ";4
"ΜΑΛΒΙΝΑ";4
"ΜΑΡΙΓΟΥΛΑ";4
"ΜΑΥΡΕΤΑ";4
"ΜΑΥΡΟΥΔΗΣ";4
"ΜΕΛΑΧΡΟΙΝΗ";4
"ΜΕΡΣΙΝΑ";4
"ΜΗΝΑ";4
"ΜΙΝΑ";4
"ΜΟΡΦΟΥΛΑ";4
"ΝΕΟΚΛΗΣ";4
"ΝΕΦΕΛΗ";4
"ΝΤΙΑΝΑ";4
"ΞΕΝΙΑ";4
"ΟΘΩΝ";4
"ΟΝΟΥΦΡΙΟΣ";4
"ΟΡΣΑΛΙΑ";4
"ΟΣΙΑ";4
"ΠΑΝΤΑΖΗΣ";4
"ΠΟΥΛΙΑ";4
"ΠΡΕΣΒΕΙΑ";4
"ΠΩΛΙΝΑ";4
"ΡΑΛΛΟΥ";4
"ΡΙΖΟΣ";4
"ΡΟΔΟΠΗ";4
